ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Monthly Average,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,name
BHS,70.96460113,71.38339996,73.39760017,75.57439918,78.38060035,81.02180062,82.30639992,82.37599945,81.81980056,79.61600037,75.99379997,72.5402008,77.11400032,45.45,45.47,51.36,65.95,161.5,189.2,128.61,166.29,175.39,142.16,65.81,42.88,106.6736382,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Bahamas
BIH,29.5599089,32.72518399,39.21035814,47.18634636,55.29971558,61.39940033,65.34189084,65.25917284,58.90018172,49.91630002,40.65009641,33.30882911,48.2297573,80.86,76.12,77.19,89.21,95.58,100.31,83.83,83.99,84.6,87.76,110.48,101.83,89.31310735,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Bosnia and Herzegovina
BLR,19.75309308,22.1085492,30.7655927,44.45813457,56.18599468,61.76760343,63.89701937,62.5139824,54.35858047,44.42658035,34.18538144,25.54994531,43.33087418,35.29,28.69,33.58,39.44,53.06,77.9,82.4,68.45,55.32,43.9,47.23,44.79,50.83889482,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Belarus
BLZ,72.26989937,73.47229977,76.01209965,78.56720028,80.43829957,80.47189999,79.60610008,79.99699993,79.68050041,77.75420055,74.41100025,72.71089974,77.11579933,121.1,67.28,52.64,60.33,134.92,262.84,298.3,244.69,287.37,244.19,171.44,144.16,174.1053585,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Belize
BOL,72.61972567,72.37802154,71.72910574,69.79801608,66.65781582,63.76324042,63.97779494,66.98023317,70.39122083,72.51044449,73.24550932,73.00993649,69.75505406,179.82,167.58,142.46,80.47,49.73,30.27,20.86,26.23,43.93,78.3,113.58,162.33,91.29665011,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,"Bolivia, Plurinational State of"
BRA,78.05212136,78.17138931,77.88353574,77.08872787,75.54261063,73.92311425,73.8378565,75.61823225,77.24098547,78.30719987,78.33183955,78.18320298,76.8483893,226.46,217.8,236.03,184.87,130.86,81.93,65.16,57.76,76.91,124.49,158.2,202.52,146.9142494,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Brazil
BRN,77.61739902,77.84600049,78.65600014,79.61899986,79.71530018,79.26169872,78.86660119,78.9467001,78.88369866,78.65600014,77.86130066,78.25099945,78.68120003,347.71,175.36,195.81,237.31,286.29,223.15,216.21,225.94,264.16,304.76,334.17,349.91,263.3979289,Rainy,Dry,Dry,Dry,Rainy,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Brunei Darussalam
BTN,33.00290345,35.89736503,42.22237991,47.80871869,52.75120955,57.90767004,58.6357188,58.2641862,56.03737998,49.45023237,41.52213757,35.72120453,47.43507727,6.58,8.05,26.92,93.84,162.48,366.28,446.23,330.03,238.27,84.85,12.84,4.1,148.3716576,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Bhutan
BWA,79.3538233,77.75824567,75.74403702,70.55350973,63.67297474,57.72554757,57.58678152,62.8816564,70.45471941,75.70945242,77.89279132,78.6024894,70.66136992,89.76,77,53.38,31.47,4.9,1.23,0.33,0.6,5.7,21.71,45.99,62.41,32.87298131,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Botswana
CAF,75.70592354,78.82647052,80.52659701,80.16484125,78.58931175,76.36945291,74.78520588,74.67589999,74.9176912,75.75570583,75.6415735,74.56919698,76.71065889,6.81,15.65,58.4,95.95,144.62,166.27,206.48,229.71,218.36,165.86,37.4,9.19,112.8890083,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Central African Republic
