ISO_3DIGIT,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Monthly Average,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,name
GRC,40.53350244,42.44526725,46.73967417,53.47449406,61.56072924,68.85807046,73.31825876,72.99425881,67.13275316,58.19231868,50.38379536,43.32517291,56.57990357,81.48,72.75,63.67,47.12,42.97,28.08,21.52,19.05,28.02,66.84,91.3,105.43,55.68527486,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Greece
GTM,69.25796912,70.61567698,73.28950765,75.82386172,76.8043077,76.16618488,75.17456929,75.39864602,74.88398461,73.59846194,71.38109218,69.9436767,73.5281233,85,55.85,66.82,95.21,215.29,387.59,379.06,341.91,404.44,313.12,160.64,101.4,217.1942277,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Guatemala
GUF,76.96386655,76.96533343,77.48753331,78.07453308,77.93686625,77.65913315,77.69473292,78.51753324,79.30513319,79.66646652,79.22366664,77.88859978,78.11526667,301.93,252.82,307.71,350.8,459.63,330.76,217.22,143.28,65.49,61.5,108.66,241.84,236.8021474,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,French Guiana
GUY,77.40985459,77.54793614,78.1697,78.55159975,78.42066368,77.68653627,77.58731828,78.42941815,79.49829102,79.99473624,79.62933643,78.25386365,78.43165443,176.54,129.47,148.42,202,341.2,355.05,291.18,204,110,100.87,120.42,185.53,197.0572071,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Guyana
HND,70.35655012,71.56680002,74.08199997,75.95595017,76.98905029,76.09239988,75.28190002,75.68785019,75.58214989,74.19489985,72.2835,71.06699991,74.09495001,92.34,58.83,39.33,52.17,151.62,268.51,253.22,217.2,260.12,248.86,177.31,126.25,162.1465027,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Honduras
HRV,31.71370659,35.75427478,42.48543716,50.44460649,58.5676143,64.38572826,68.07180742,67.4011138,61.43912866,52.42929927,42.72757577,34.75143137,50.84763923,73.48,67.51,72.38,85.34,88.54,97.99,80.4,92.7,86.95,86.7,113.42,91.94,86.4456402,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Croatia
HTI,72.50650781,73.03501596,74.24696852,75.50530795,76.83841594,78.17567682,78.56973845,78.92392314,78.45107686,77.51410734,75.54726119,73.34544575,76.05513828,43,51.41,66.05,123.63,210.15,156.22,116.2,156.67,185.24,202.13,116.75,52.76,123.3500945,Dry,Dry,Dry,Rainy,Rainy,Rainy,Dry,Rainy,Rainy,Rainy,Dry,Dry,Haiti
HUN,28.33946273,33.53682733,41.78614588,51.29206854,59.88854551,65.32834987,68.19607717,67.45124563,61.04271393,51.45292715,40.80800542,32.20591235,50.11060591,34.48,31.8,33.51,43.27,59.8,76.26,60.16,62.28,41.42,35.48,50.75,42.55,47.64624653,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Rainy,Dry,Hungary
IDN,77.92560735,78.11368481,78.42789421,78.83168113,78.8699604,78.05576143,77.49498804,77.69584229,78.1375521,78.7782832,78.76219405,78.43631915,78.29414615,280.08,246.32,282.73,271.67,251.16,192.19,171.61,168.5,183.82,213.9,254.95,284.6,233.4612667,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Indonesia
IND,62.31448451,66.46841125,74.20992632,81.37780147,85.15032233,84.13575527,80.44313208,79.21561709,78.89227055,76.12829066,69.4253113,63.460132,75.10178154,11.21,13.22,18.22,31.46,55.53,155.4,266.92,249.32,163.08,68.86,26.11,12.87,89.35143762,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,India
IRL,40.34827349,40.44653409,42.79366108,45.85042105,50.13253349,55.03829732,58.14704343,57.69830816,54.42639462,50.14609176,43.89961516,41.80352489,48.39426385,121.97,86.44,90.08,65.88,76.82,67.11,66.19,88.4,99.71,115.97,112.43,119.63,92.55238411,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Ireland
IRN,39.90942763,43.57388254,52.39400596,62.28342145,71.70208525,79.74842457,83.46776225,81.09550034,74.31556457,64.13369635,53.14331586,43.8465511,62.46780412,35.67,32.95,37.2,32.41,19.12,4.95,3.66,3.06,2.63,10.07,16.19,29.44,18.94651436,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,"Iran, Islamic Republic of"
IRQ,47.9852222,52.0295146,59.22078724,69.26974293,79.76159531,87.40979533,91.93769013,91.19813983,84.99920016,74.44432247,60.94465339,50.92699096,70.84398843,33.04,29.97,31.07,28.78,11.89,0.81,0.25,0.31,0.35,8.2,21.47,30.21,16.36130524,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Iraq
ISL,26.29732574,27.10509176,27.29534075,31.17207675,37.5090766,43.48899748,46.93049754,45.62017742,39.71518573,34.17683858,27.7899163,26.08991843,34.43253552,100.83,85.01,88.22,65.71,58.89,68.46,73.83,87.88,94.97,115.66,99.24,101.12,86.65176741,Rainy,Dry,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Iceland
ISR,53.22817141,54.88905751,58.92465684,65.87239996,71.41228583,76.55308598,79.60897189,80.02682805,77.22294301,71.99420024,63.62471445,56.12334279,67.45640041,60.49,43.48,32.7,12.41,1.55,0.01,0.09,0.24,0.37,9.78,27.55,60.03,20.72412046,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Israel
ITA,37.97382592,39.82884716,43.73973712,49.30284488,56.79964136,63.5444572,68.54915722,68.2598185,62.9344629,55.14234157,46.4224027,39.91714188,52.70124974,77.58,71.88,74.6,79,74.15,67.46,56.39,71.92,75.89,95.07,101.24,85.01,77.51613478,Rainy,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Italy
JAM,72.96934967,73.24699993,74.20009995,75.64144955,76.50364971,77.90585022,78.25100031,78.63484974,77.72900038,77.05355063,75.87635012,74.52320013,76.04419975,106.5,107.8,79.48,126.7,233.21,169.26,134.79,205.76,228.49,297.01,263.87,161.32,176.1820221,Dry,Dry,Dry,Dry,Rainy,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Jamaica
JOR,47.00720165,49.9163205,55.5467257,63.89286285,71.45214286,77.4054115,80.42637707,80.43820582,76.73622268,69.22996573,58.47753703,49.89166571,65.03509128,20.94,18.77,18.95,8.79,2.73,0.05,0.22,0.47,0.07,4.02,9.59,17.7,8.525474498,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Jordan
JPN,29.71813315,30.40052178,36.54161278,47.66370831,56.34323365,63.21365247,70.40957275,72.93919993,65.7630296,54.99897047,44.69661557,35.14654437,50.6529067,74.25,73.72,97.03,124.16,138.98,206.8,212.04,187.56,193.24,126.19,98.07,71.73,133.6464294,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Japan
KAZ,9.850632779,10.75285735,24.87720562,46.82752685,60.43321641,69.75193031,74.12655514,69.58541168,59.00611903,43.13185922,28.55010335,16.44450448,42.77816692,16.91,14.07,17.85,23.55,25.4,25.16,27.14,20.32,16.01,23.54,22.75,19.57,21.02208213,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Kazakhstan
KEN,76.85132193,78.28141711,78.97833467,77.81556381,76.09364707,74.15148535,73.1379893,73.68284058,75.05942677,76.71270274,76.1975658,76.22665465,76.09903753,30.94,26.99,60.55,138.85,89.82,34.49,30.8,28.79,26.6,58.9,102.18,49.21,56.50941186,Dry,Dry,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry,Kenya
KGZ,6.333518295,9.112514951,22.65805694,37.72003563,45.53766901,52.74645067,58.00214997,56.65815126,48.21563677,35.98469892,22.52290242,12.11834203,33.96750102,25.4,28.26,44.49,57.44,59.14,39.37,22.35,14.3,10.74,30.69,30.51,28.03,32.56012213,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Kyrgyzstan
KHM,76.7585967,79.75269351,82.26816456,84.09908377,83.28475824,81.90711938,81.22741613,81.07856789,80.5285516,79.87622596,78.46746456,76.64371609,80.49110007,10.92,16.01,41.89,79.3,198.4,278.31,291.22,319.24,316.98,236.1,100.92,29.38,159.8898214,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Cambodia
KOR,25.55473016,29.33070843,38.59442002,50.52352563,59.91864284,67.60490017,73.96177142,74.98952844,65.84617124,54.85379872,42.28173288,30.79186017,51.18764416,29.27,37.59,59.7,104.72,101.93,177.64,292.02,252.76,154.23,60.35,51.04,23.48,112.0609458,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,"Korea, Republic of"
KWT,54.23157504,58.3857501,66.62075019,75.58272505,87.18957515,94.49667511,97.24234991,96.57972584,90.99995003,80.84075036,67.80717535,57.33860004,77.27629972,22.8,14.35,15,16.56,4.81,0.19,0.39,0.42,0.25,1.73,13.78,18.3,9.048901161,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Kuwait
LAO,65.63981596,69.0760159,73.41744771,77.37845602,78.62883205,78.34901599,77.89071184,77.35529588,76.70235217,74.51849596,70.28115192,66.2589441,73.79143999,19.44,18.26,38.66,97.15,189.65,271.02,281.59,340.92,247.46,151.88,74.54,27.78,146.5289503,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Lao People's Democratic Republic
LBN,45.4968947,46.62796985,50.70965028,57.19234991,63.3636498,69.56599979,73.34329939,74.02684984,71.31650038,65.12405052,56.30283541,48.18321495,60.10429978,162.24,123.15,91.27,50.48,14.34,2.28,0,0.12,2.29,40.76,85,149.17,60.09270732,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Lebanon
LBR,77.47049681,78.57430328,79.58874825,79.48696136,78.46281929,77.17895521,75.45054853,75.01982544,76.17995489,77.22738033,77.80140634,77.01190289,77.4543551,23.76,69.86,99.45,153,252.8,359.98,320.88,341.74,399.1,261.44,125.09,52.99,205.0066876,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Liberia
LBY,54.29281908,58.34394419,63.96161018,71.77582435,79.69202641,84.62088933,84.92483962,84.41967006,81.1753787,73.55622846,63.94938777,56.32636647,71.41994514,8.72,4.98,5.49,2.84,1.6,0.47,0.44,1.12,1.71,5.36,5.19,8.07,3.831439502,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Libya
LKA,77.23997246,78.55601862,80.65048155,82.01504562,82.5301727,81.85574511,81.31999994,81.0249635,80.8407092,79.88949075,78.48434578,77.50735472,80.15940923,101.78,65.48,80.96,152.65,130.05,77.48,74.95,91.62,129.33,250.85,292.25,252,141.6172735,Dry,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Sri Lanka
LSO,63.51560016,61.71800027,59.23549995,52.5736402,46.8900049,41.88350005,42.68098982,46.18800514,52.95415997,55.59904981,58.24939975,61.16105008,53.55405526,122.34,110.23,103.33,59.32,23.85,15.23,12.88,23.27,35.21,75.39,95.25,99.36,64.63893085,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Lesotho
LTU,22.15646464,23.67477386,31.16108234,42.71860768,53.91869229,60.06560001,62.39775367,61.57972286,53.84336918,44.98815388,35.29661832,27.08892288,43.24082919,38.89,28.14,36.02,40.54,51,67.8,77.16,75.55,67.09,56.51,61.2,51.81,54.31013697,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Lithuania
LUX,32.666,34.88593996,40.46594,46.60394058,54.36140061,59.90540047,63.30739937,62.41999932,57.28459987,49.55593948,39.92000018,34.47193993,47.98741969,74.29,60.62,71.18,57.73,72.2,76.34,69.44,70.43,59.84,69.8,82.27,84.66,70.73382568,Rainy,Dry,Rainy,Dry,Rainy,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Luxembourg
LVA,21.44136965,22.45452802,29.53895704,40.92937314,52.26928571,59.0785314,61.78804566,60.68407982,52.72303995,44.11553768,34.41440357,26.09788896,42.12792631,38.09,27.59,33.6,38.11,47.07,59.89,75.63,76.42,70.87,59.01,61.21,51.37,53.23919242,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Latvia
MAR,49.42014037,52.10797881,55.5551554,59.17821154,65.49377693,71.99761529,78.81718082,78.55139233,72.87444622,64.80464239,56.7384673,50.5231654,63.00517299,39.42,46.01,37.25,38.82,23.73,8.18,2.55,3.79,11.93,24.64,44.03,41.91,26.85554538,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Morocco
MDA,26.00262495,28.88639037,37.27586747,50.45072001,60.8941627,66.88399978,69.72192476,69.0435499,61.59042468,50.73799994,40.07000757,31.25449509,49.40091488,37.07,36.52,32.5,42.69,53.74,73.78,68.09,47.45,45.26,25.61,37.77,38.42,44.90772915,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,"Moldova, Republic of"
MDG,75.71898466,75.78150053,75.17684671,73.58168145,70.11019391,66.82952475,66.00608427,66.73474613,68.94896553,71.77875735,73.7490995,75.07641217,71.62442327,283.24,257.36,184.33,90.11,55.19,48.24,56.87,49.05,31.86,60.88,118.04,240.5,122.9729993,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Madagascar
MEX,58.64122648,61.15496561,65.19343076,70.29947693,74.23117558,76.92787214,76.82390425,76.45315026,74.44142532,69.92167127,64.02523417,59.65205253,68.98044767,23.18,15.9,13.14,17.08,38.83,102.02,132.38,134.18,137.52,70.58,27.62,25.71,61.51159402,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Mexico
MKD,30.22999946,33.88508434,40.57891445,48.62113467,57.17430869,63.35812686,67.72410896,67.51710905,61.35881802,51.41278733,41.65893082,33.31838054,49.73633273,47.27,42.28,51.31,52.34,69.45,57.49,46.05,41.82,40.17,53.81,70.1,60.42,52.70865284,Dry,Dry,Dry,Dry,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy,Rainy,"Macedonia, the Former Yugoslav Republic of"
MLI,70.24567076,75.51333917,81.20730823,86.95550922,91.51174341,92.08755803,89.26242202,87.12061595,87.03920293,85.19691336,78.16035505,70.97651285,82.93977236,0.04,0.34,1.07,5.18,14.34,36.78,75.31,98.17,55.82,14.9,0.95,0.12,25.25076206,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Mali
MMR,64.40156648,67.52435861,72.93792908,77.70677378,78.35759365,77.31538591,76.83716267,76.6833197,76.80282719,75.21341398,70.57495724,65.51432596,73.32245758,8.31,12.37,21.21,63.52,199.26,385.51,408.08,395.68,269.21,176.84,55.88,11.83,167.3083945,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Myanmar
MNE,28.22596995,30.658001,36.55899193,44.36801023,52.88800983,58.94869986,63.5836998,63.57199993,57.12110014,47.97211981,38.99698989,31.8970189,46.23250985,110.91,100.99,100.89,106.44,101.58,94.54,76.75,76.78,93.87,107,133.46,123.98,102.2652062,Rainy,Dry,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Montenegro
MNG,-5.00026001,-0.032442275,16.15659413,35.03718129,49.63765815,59.29614034,62.95282025,59.84940712,48.61689151,33.38830961,13.59233997,-0.274036229,31.10172136,1.64,1.72,3.9,9.53,17.37,37.37,64.06,54.14,22.4,8.16,4.45,2.49,18.93599486,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Mongolia
MOZ,78.85917082,78.60375961,77.86677743,75.46690565,71.66955282,68.00519774,67.33109439,69.77653268,73.62878882,76.95766284,78.66882248,78.85580683,74.64084726,196.13,189.22,163.41,83.98,32.9,20.72,18.33,12.24,10.43,29.21,73.99,177.24,83.98381606,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Mozambique
MRT,68.53140499,72.78004998,77.521955,82.30738005,88.34723017,91.78302986,91.93769492,90.09644006,88.16383497,84.89078501,76.91987499,68.88713501,81.84721502,0.57,0.69,0.23,0.55,0.72,5.51,18.78,33.61,23.49,4.07,1,0.8,7.500396259,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Mauritania
MUS,77.89459953,78.07460022,77.8585987,76.31600151,73.19659843,70.41200027,69.17539978,68.68399849,69.62539978,71.59459953,74.17940101,76.53740005,73.62860146,265.81,283.84,245.58,223.85,156.24,121.97,121.93,105.02,69.5,69.94,91.33,198.01,162.7514038,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Mauritius
MWI,74.27446862,74.07400536,73.84218417,72.15648444,68.56335261,65.164763,64.48606835,67.10535245,71.61160512,75.7101103,76.59537923,75.15547375,71.56177372,232.96,209.85,206.31,100.76,25.15,10.55,9.07,3.71,3.13,17.8,76.44,216.54,92.6909169,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Malawi
MYS,76.29404023,76.51892004,77.34664576,78.09997135,78.3356685,77.88283994,77.37472577,77.33581154,77.20598865,77.18152573,76.79953149,76.62273724,77.24990856,274.89,196.23,210.43,227.43,239.84,196.16,190.34,220.19,251.65,298.33,342.47,344.83,249.3994177,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Malaysia
NAM,75.67022644,74.48965851,72.81092968,68.59185502,62.88756098,57.99252057,57.45419515,60.91038331,66.62341397,70.8425575,73.41329,75.1338454,68.06846274,63.88,64.59,55.49,22.08,2.65,1.33,0.42,0.55,1.77,7.94,24.19,28.93,22.81926676,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Namibia
NCL,76.48939953,76.73120003,75.84560013,73.30429993,70.44470005,68.16530018,66.15169964,66.23989983,67.37719993,70.08290024,72.7823,74.82589951,71.5369997,190.16,171.62,192.39,125.67,110.67,127.12,87.12,87.55,61.69,71.08,105.27,125.88,121.3505571,Rainy,Rainy,Rainy,Rainy,Dry,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,New Caledonia
NER,66.28576132,71.43970622,78.82105506,86.52648881,90.91131112,91.02784678,88.22511709,86.58066755,86.62577911,83.24250277,74.59047446,68.07967343,81.02971314,0.01,0.4,0.46,1.21,6.09,16.79,48.19,64.48,21.42,1.75,0.02,0,13.40026434,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Niger
NGA,76.27391681,80.60910091,84.42701986,85.80139396,84.08762174,81.15999008,78.52918612,77.67824949,78.67030488,80.19716229,78.66376441,76.39836031,80.20798619,3.46,9.6,30.83,68.79,115.38,158.44,215.14,230.02,197.65,92.29,13.01,3.93,94.87765746,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Nigeria
NIC,73.93131308,75.13997382,76.90870876,78.29967814,78.45498698,77.12275214,76.8685609,76.58439586,76.50237837,76.17473898,74.81542627,74.31404795,76.25980891,110.79,56.15,36.14,47.67,197.45,372.43,337.75,296.64,299.95,313.85,193.16,144.99,200.5807829,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Nicaragua
NLD,35.58879499,36.27238996,40.90101125,45.61324259,53.57041255,58.49937492,61.79168756,61.9517751,57.01212499,50.62523022,42.64922745,38.28310254,48.56312776,65.51,44.59,60.11,46.74,56.06,66.41,73.2,65.14,66.67,69.24,77.02,75.36,63.83907318,Rainy,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Netherlands
NOR,15.35590785,16.26288206,22.11101122,29.95412448,40.60365219,49.14873669,52.95593797,50.87570833,43.55059697,34.95762144,25.23179836,19.27628099,33.35700644,93.15,70.43,73.18,53.41,55.35,71.49,91.24,94.86,117.05,122.5,104.18,105.01,87.65339512,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Norway
NPL,39.49468789,42.13590372,50.03505405,57.65288709,62.27629865,65.89433217,65.85217424,65.46279255,63.23134663,56.72064169,48.49336733,42.02054117,54.93909275,20.21,30.37,39.84,53.4,95.82,212.61,363.57,299.47,203.84,60.72,10.34,16.24,117.2009811,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Nepal
NZL,58.88742959,59.09417454,56.48564727,51.2928054,45.64765167,41.47118746,40.22448848,42.29286024,45.6996935,49.40682642,52.75059098,56.22446572,49.95649788,139.13,108.15,147.05,141.77,160.2,154.6,161.4,162.52,161.48,159.38,143.23,152.03,149.2454728,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Rainy,New Zealand
OMN,67.86039059,69.3963793,74.11288429,80.08839622,85.03957378,86.09052141,83.64962055,81.70040555,81.40150471,79.24745992,74.89749903,70.32329554,77.81738496,6.89,12.68,10.67,14.55,3.82,6.43,12.18,7.38,2.2,3.32,3.62,4.46,7.350592233,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Oman
PAK,47.6145769,51.20066847,60.81610559,70.85312446,78.5290749,84.16644797,83.58736636,81.71600384,77.50894194,69.55065585,59.45776006,50.58901312,67.96582682,20.58,27.55,35.08,24.87,16.83,14.38,59.83,54.52,19.5,6.97,6.57,14.31,25.08481709,Dry,Rainy,Rainy,Dry,Dry,Dry,Rainy,Rainy,Dry,Dry,Dry,Dry,Pakistan
PAN,75.52219968,76.15054999,77.79477472,78.26089988,78.00139995,76.72932491,77.20992484,76.46967492,75.81057491,75.73662491,75.13512502,75.18155012,76.50020003,61.35,34.99,36.55,115.2,296.42,258.26,232.77,271.58,272.9,419.1,325.04,162.86,207.2522134,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Panama
PER,68.15852145,68.16936013,67.98488466,67.5980494,66.58605171,65.06446521,64.49076744,65.71820525,66.72647291,67.54341748,68.1446331,68.07536956,67.02171611,169.54,173.36,176.57,142.64,112.33,85.04,74.48,69.6,92.18,133.86,128.71,154.93,126.1035099,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Peru
PHL,75.31558443,75.74952572,77.23693247,79.07165853,79.78280007,78.82734377,78.08436848,77.93834607,78.00520902,77.7981079,77.11780927,76.12788992,77.58801355,121.99,79.9,75.19,88.1,177.7,253.89,289.25,293.56,269.4,273.11,234.91,160.61,193.1327246,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Philippines
PNG,77.8399877,77.70446116,77.63320804,77.51097935,77.2761961,76.10309782,75.30977549,75.68678365,76.54625309,77.45607368,78.0115632,78.07850614,77.096453,304.85,299.09,329.83,276.52,253.95,218.2,220.99,216.11,224.74,245.56,227.27,288.95,258.8381436,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,Papua New Guinea
POL,26.9278614,29.5132784,36.76686304,45.33402236,55.36491657,60.70412512,63.54010799,62.92678291,55.99889198,47.77785916,38.16354453,30.9485979,46.16389745,32.86,27.47,31.06,38.81,60.88,76.34,78.83,71.24,51.89,43.73,46.65,40.89,50.05492464,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Poland
PRI,72.27020035,72.30019989,73.27400055,74.81180038,76.66339951,77.91860008,78.06020012,78.47179947,77.98220062,77.2760006,75.66020012,73.71200028,75.69980011,114.46,90.59,91.98,144.65,264.6,183.54,184.68,225.47,266.91,232.12,185.67,141.32,177.168413,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Rainy,Dry,Puerto Rico
PRK,8.407216238,13.99637697,26.93429577,42.29218401,53.50945229,61.64967685,68.14936165,68.07004653,57.34805184,44.91962639,29.35603479,14.27059735,40.74193295,12.92,17.61,33.14,66.36,86.68,138.93,270.11,261.97,124.15,52.48,33.26,12.81,92.53545407,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,"Korea, Democratic People's Republic of"
PRT,48.28268859,49.67828426,52.39866715,55.32446859,60.25931432,66.36024291,71.09822865,71.36068565,68.20712866,61.57352852,53.79637998,49.02040563,58.94668557,113.11,112.62,77.24,71.18,54.22,35.5,10.85,11.7,41.16,87.41,106.66,113.69,69.61223602,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Portugal
PRY,81.937362,80.73535512,78.50747475,73.58613533,68.72083663,65.01528318,65.4221972,68.54812544,72.14598308,76.4537888,78.95537025,81.14414519,74.26434206,126.6,112.88,109.02,111.34,86.56,55.81,42.36,38.49,59.23,107.46,125.34,118.8,91.157883,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Rainy,Rainy,Rainy,Paraguay
QAT,63.08959885,64.96580047,71.21180038,78.96979942,88.01180038,92.98579864,94.72580185,94.10419998,90.3655983,84.41000023,75.8144001,66.7616005,80.45120049,11.74,15.81,15.54,10.95,0.78,0.2,0.36,0.22,0,0.23,3.63,5.78,5.435105324,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Qatar
REU,74.32340088,74.52860146,74.04260063,72.30739937,69.23660049,66.20540047,64.89860077,64.71140061,66.22340088,68.52739869,71.04740142,73.19659843,69.93680038,267.38,280.78,250.96,215.66,146.85,113.86,127.78,108.03,73.27,81.66,108.78,212.49,165.6254985,Rainy,Rainy,Rainy,Rainy,Dry,Dry,Dry,Dry,Dry,Dry,Dry,Rainy,R̩union
